English,German
ball,Ball
particular,besondere
employee,Angestellter
head,Kopf
suddenly,plötzlich
apply,anwenden
shake,Shake
cultural,kulturell
chair,Stuhl
PM,PM
justice,Gerechtigkeit
discover,entdecken
measure,messen
politics,Politik
manage,verwalten
treat,behandeln
yourself,dich selbst
pain,Schmerzen
evening,Abend
rather,eher
unit,Einheit
affect,beeinträchtigen
play,abspielen
production,Produktion
bit,bisschen
inside,Innerhalb
far,weit
range,Angebot
top,oben
worry,Sorge
perform,ausführen
necessary,notwendig
conference,Konferenz
individual,Individuell
candidate,Kandidat
museum,Museum
specific,Spezifisch
best,Beste
throughout,hindurch
hall,Halle
past,vorbei an
fish,Fische
trip,Reise
mention,nennen
edge,Kante
trouble,Problem
interview,Interview
style,Stil
middle,Mitte
cause,weil
